lat,lon
 -1.44569,-48.48037
 -1.44569,-48.48037
 -1.44569,-48.48037
 -1.44569,-48.48037
 -1.4577738,-48.47767405
 -1.45786889,-48.47738383
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
